bookname,bookdetail,bookscore,bookscorenums,bookquote,bookimg
窗边的小豆豆,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.7,132111,真正懂孩子的教育经,https://img3.doubanio.com/view/subject/m/public/s1067911.jpg
倾城之恋,花城出版社 / 1997-3-1 / 11.00,8.5,138562,一段姻缘，需要一座城的倾覆来成全,https://img3.doubanio.com/view/subject/m/public/s1077102.jpg
房思琪的初恋乐园,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元,9.2,124023,以血书写的文学,https://img3.doubanio.com/view/subject/m/public/s29651121.jpg
老人与海,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,8.4,134777,正是悲壮赋予生活以意义,https://img3.doubanio.com/view/subject/m/public/s1050021.jpg
狼图腾,姜戎 / 长江文艺出版社 / 2004-4 / 32.00元,8.2,136877,我们都是 狼的传人？,https://img3.doubanio.com/view/subject/m/public/s1466042.jpg
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元,9.0,123845,小天狼星布莱克,https://img9.doubanio.com/view/subject/m/public/s1074376.jpg
鲁滨逊漂流记,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,8.1,135961,最早的荒野求生,https://img9.doubanio.com/view/subject/m/public/s1242786.jpg
哈利·波特与火焰杯,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元,9.0,118418,整个系列的分水岭，暗色渐浓,https://img9.doubanio.com/view/subject/m/public/s1072746.jpg
万历十五年,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,8.9,121358,见微知著，历史观的颠覆,https://img3.doubanio.com/view/subject/m/public/s1800355.jpg
穆斯林的葬礼,霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00,8.1,132403,时代烙印鲜明的民族史诗,https://img3.doubanio.com/view/subject/m/public/s1790771.jpg
哈利·波特与密室,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元,8.9,118707,渐入佳境，魔法世界全貌初现,https://img3.doubanio.com/view/subject/m/public/s1557672.jpg
1984,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,9.3,114319,栗树荫下，我出卖你，你出卖我,https://img1.doubanio.com/view/subject/m/public/s4371408.jpg
骆驼祥子,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,8.4,124251,如骆驼喘息般深刻的绝望,https://img3.doubanio.com/view/subject/m/public/s1146040.jpg
送你一颗子弹,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,8.6,119052,犀利又温柔，穿过胸口隐隐作痛,https://img1.doubanio.com/view/subject/m/public/s4243447.jpg
情人,[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元,8.1,126458,我已经老了，你呢？,https://img1.doubanio.com/view/subject/m/public/s1444578.jpg
月亮与六便士,[英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元,8.8,113710,满地都是六便士，他却抬头看见了月亮,https://img1.doubanio.com/view/subject/m/public/s29634528.jpg
人类简史,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00,9.1,106535,跟着人类一同走过十万年,https://img3.doubanio.com/view/subject/m/public/s27814883.jpg
黄金时代,王小波 / 花城出版社 / 1999-3 / 19.00元,8.8,108997,能把性爱写得如此坦荡的，大概只有王二了,https://img3.doubanio.com/view/subject/m/public/s1076372.jpg
三国演义（全二册）,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.2,102310,是非成败转头空,https://img3.doubanio.com/view/subject/m/public/s1076932.jpg
哈利·波特与混血王子,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元,8.8,103325,感情线纷乱的一部。再见邓布利多,https://img3.doubanio.com/view/subject/m/public/s1447381.jpg
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,8.6,104870,你自己就是最大的宝藏,https://img1.doubanio.com/view/subject/m/public/s3668327.jpg
哈利·波特与凤凰社,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元,8.7,99820,暴脾气的哈利,https://img3.doubanio.com/view/subject/m/public/s1822013.jpg
悟空传,今何在 / 光明日报出版社 / 2001-4 / 14.80元,8.3,107088,猴子还是那个猴子，世界早已不是原来的世界,https://img3.doubanio.com/view/subject/m/public/s9026255.jpg
局外人,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,9.0,97316,人生在世，永远也不该演戏作假,https://img9.doubanio.com/view/subject/m/public/s4468484.jpg
1Q84 BOOK 1,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元,8.3,106090,村上的野望，欢迎来到1Q84年,https://img9.doubanio.com/view/subject/m/public/s4363464.jpg
哈利·波特与死亡圣器,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2007-10 / 66.00元,9.0,94013,,https://img1.doubanio.com/view/subject/m/public/s2752367.jpg
白鹿原,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,8.7,95020,中国乡村史诗,https://img1.doubanio.com/view/subject/m/public/s9137567.jpg
苏菲的世界,（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元,8.5,99313,最平易近人的哲学入门,https://img3.doubanio.com/view/subject/m/public/s2153661.jpg
无声告白,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,8.2,102204,莉迪亚死了，可他们还不知道,https://img3.doubanio.com/view/subject/m/public/s28109182.jpg
向左走·向右走,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,8.4,98988,两条平行线相遇的可能,https://img3.doubanio.com/view/subject/m/public/s1557610.jpg
天龙八部,金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0,9.1,89258,“有情皆孽，无人不冤”,https://img1.doubanio.com/view/subject/m/public/s23632058.jpg
茶花女,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,8.2,97910,妓女应当拥有爱情吗？,https://img1.doubanio.com/view/subject/m/public/s1008927.jpg
了不起的盖茨比,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,8.4,95383,梦，就像黛西家的那一缕绿光,https://img3.doubanio.com/view/subject/m/public/s1005875.jpg
基督山伯爵,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,9.0,87199,完美的复仇，金庸用法语写作应该就是这样,https://img9.doubanio.com/view/subject/m/public/s3248016.jpg
一个陌生女人的来信,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7,91107,暗恋的极致,https://img1.doubanio.com/view/subject/m/public/s2611329.jpg
呼啸山庄,（英）勃朗特 / 张扬 / 人民文学出版社 / 1999-01-01 / 27.30元,8.4,93615,近乎暴虐的爱与恨，中文译名后无来者,https://img3.doubanio.com/view/subject/m/public/s1095383.jpg
亲爱的安德烈,龙应台 / 人民文学出版社 / 2008-12 / 26.00,8.6,91887,龙应台母子对话，两代人的思想碰撞,https://img1.doubanio.com/view/subject/m/public/s3993878.jpg
沉默的大多数,王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1,83062,沉默是沉默者的通行证,https://img1.doubanio.com/view/subject/m/public/s1447349.jpg
无人生还,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,8.9,82027,童谣杀人案,https://img3.doubanio.com/view/subject/m/public/s2962510.jpg
东方快车谋杀案,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.0,80535,谋杀诡计惊人，波洛的抉择耐人寻味,https://img1.doubanio.com/view/subject/m/public/s1765799.jpg
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.2,77857,侦探小说鼻祖,https://img3.doubanio.com/view/subject/m/public/s1229240.jpg
灿烂千阳,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.8,81779,唯有希望与爱可以驱散阴霾,https://img9.doubanio.com/view/subject/m/public/s2651394.jpg
